1,wouldnt be
2,wouldn’t be
3,wouldn t be
4,would not be
5,wont be
6,won’t be
7,won t be
8,without further
9,without being 
10,without be
11,without any further
12,without any
13,without ani further
14,without ani
15,without
16,will not be
17,under no circumstances
18,under no circumstance
19,under no circumst
20,the less
21,on no occasion
22,on no occas
23,on no acount
24,nothing
25,not too much
26,not too
27,not still
28,not so
29,not much more
30,not more so
31,not more
32,not ever
33,not at all
34,not as
35,not anymore
36,not anymor
37,not any more
38,not any longer
39,not any
40,not ani
41,not
42,nor
43,none
44,no way
45,no more
46,no longer be
47,no longer
48,no further
49,no farther
50,no
51,never
52,neither
53,lot less
54,in no respect
55,in no case
56,failure to
57,failur to
58,couldnt be
59,couldn’t be
60,couldn t be
61,could not be
62,ceased to be
63,ceas to be
64,cant be
65,cannot be
66,can’t be
67,can t be
68,by no means
69,by no mean
70,by no chance
71,by no chanc
